url,url_length,has_ip,has_https,num_dots,num_hyphens,num_slashes,has_at,keyword_count,domain_length,subdomain_length,is_valid_url,label
http://secure-upi-login.com,26,0,0,3,1,2,0,3,10,0,1,1
http://bank-verify-payment.net,29,0,0,3,2,2,0,3,11,0,1,1
http://update-sbi-account.info,28,0,0,3,1,2,0,2,13,0,1,1
http://upi-secure-confirmation.tk,31,0,0,3,2,2,0,3,15,0,1,1
http://login-paytm-support.ml,27,0,0,3,2,2,0,2,13,0,1,1
http://192.168.1.1/login,22,1,0,3,0,3,0,1,0,0,1,1
http://verify-account-now.cf,23,0,0,3,1,2,0,2,15,0,1,1
http://secure-bank-update.ga,24,0,0,3,1,2,0,2,16,0,1,1
http://confirm-upi-payment.xyz,26,0,0,3,1,2,0,3,15,0,1,1
http://account-suspension-alert.online,33,0,0,3,2,2,0,2,19,0,1,1

https://google.com,18,0,1,1,0,2,0,0,6,0,1,0
https://amazon.in,19,0,1,1,0,2,0,0,6,0,1,0
https://sbi.co.in,17,0,1,2,0,2,0,0,3,0,1,0
https://paytm.com,18,0,1,1,0,2,0,0,6,0,1,0
https://icicibank.com,21,0,1,1,0,2,0,0,10,0,1,0
https://hdfcbank.com,21,0,1,1,0,2,0,0,9,0,1,0
https://flipkart.com,20,0,1,1,0,2,0,0,9,0,1,0
https://gov.in,14,0,1,1,0,2,0,0,3,0,1,0
https://uidai.gov.in,20,0,1,2,0,2,0,0,5,0,1,0
https://irctc.co.in,19,0,1,2,0,2,0,0,5,0,1,0
